course_name,category,sub_category,course_website,duration,duration_term,study_mode,degree_level,monthly_intake,intake_day,intake_month,apply_day,apply_month,city,domestic_only,international_fee,domestic_fee,fee_term,fee_year,currency,study_load,ielts_listening,ielts_speaking,ielts_writing,ielts_reading,ielts_overall,pte_listening,pte_speaking,pte_writing,pte_reading,pte_overall,toefl_listening,toefl_speaking,toefl_writing,toefl_reading,toefl_overall,english_test,reading,listening,speaking,writing,overall,academic_level,academic_score,score_type,academic_country,other_test,score,other_requirements,course_description,course_structure,career,scholarship
Health Information Science,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=69,4,years,,Doctor of Philosophy (PhD),,,,"1,","February,",,,33526.0,6050.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The Doctoral Program in Health Information Science (PhD HIS) program is a research-intensive, joint graduate program with the Faculty of Health Sciences, designed for students who want to do independent original research in Health Information Science.   The program consists of two required courses, the option to conduct Guided Reading courses or elective courses in the area of study, the passing of a comprehensive exam and completion and defence of a thesis.",,,
Health and Rehabilitation Sciences,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=135,5,years,,Doctor of Philosophy (MClSc / PhD),,,,"1,","March,",,,33526.0,6050.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,,,,
Health and Rehabilitation Sciences,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=136,4,years,,Doctor of Philosophy (PhD),,,,"1,25,","May,August,",,,33526.0,6050.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,,,,
Health Information Science,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=68,2,years,,Master of Health Information Science (MHIS),,,,"1,","February,",,,33526.0,6050.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The Master of Health Information Science (MHIS) program is a joint graduate program with the Faculty of Health Sciences that will provide students with a fundamental knowledge in health and health care, including public health, health policy, and clinical health care, combined with expertise in knowledge organization and management, knowledge translation, patient information seeking behaviour and information ethics and policy.",,,
Health and Rehabilitation Sciences,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=134,5,years,,Doctor of Philosophy (MSc (OT) / PhD),,,,"1,","April,",,,33526.0,6050.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,,,,
Health and Rehabilitation Sciences,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=133,2,years,,Master of Science (MSc),,,,"1,1,","June,March,",,,33526.0,6050.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,,,,
Health and Rehabilitation Sciences,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=132,5,years,,Doctor of Philosophy (MPT / PhD),,,,"1,","March,",,,33526.0,6050.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,,,,
Geophysics,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=67,4,years,,Doctor of Philosophy (PhD),,,,"24,","January,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The objective of the Ph.D. program is to provide the supervision, intellectual environment and resources to permit an aspiring scientist to develop and complete a thesis, involving a significant contribution to knowledge, on a specific project in Geophysics, or in a collaborative project involving one or more related disciplines. The scope of these research projects represents an enormous range of interests, from purely 'academic' to strongly 'applied' industrial and environmental topics.",,,
Geophysics,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=65,2,years,,Master of Science (MSc),,,,"24,","January,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The primary function of our M.Sc. program is to prepare young scientists for independent research, through the formulation of a research problem, the collection of data, development of analytical methods, review of literature, to writing of the final thesis. This process is the principal means by which our students learn the process of research. Learning through independent investigation is supplemented by instruction in a variety of graduate courses that may include formal lectures and laboratories, and various projects, research papers and seminars.",,,
Geophysics,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=66,1,year,,Master of Science (MSc (course-based)),,,,"24,","January,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The course-based Masters in Geophysics (M. Geophys.) is designed to meet the growing demand in industry for highly-trained applied geophysicists.  The course-based Masters students are an important component of Resource Geoscience Western, an endeavor that we are pursuing in collaboration with Industry Partners and which places us at the forefront of Earth Sciences in Canada across a broad range of applied Earth Science disciplines.",,,
Geology,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=64,4,years,,Doctor of Philosophy (PhD),,,,"24,","January,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The objective of the PhD program is to provide the supervision, intellectual environment and resources to permit an aspiring scientist to develop and complete a thesis, involving a significant contribution to knowledge, on a specific project in Geology, or in a collaborative project involving one or more related disciplines. The scope of these research projects represents an enormous range of interests, from purely 'academic' to strongly 'applied' industrial and environmental topics.",,,
Geology,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=63,1,year,,Master of Science (MSc (course-based)),,,,"24,","January,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The course-based Masters in Geology (M. Geol.) is designed to meet the growing demand in industry for highly-trained applied geologists.  The course-based Masters students are an important component of Resource Geoscience Western, an endeavor that we are pursuing in collaboration with Industry Partners and which places us at the forefront of Earth Sciences in Canada across a broad range of applied Earth Science disciplines.",,,
Geology,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=62,2,years,,Master of Science (MSc),,,,"24,","January,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The primary function of our M.Sc. program is to prepare young scientists for independent research, through the formulation of a research problem, the collection of data, development of analytical methods, review of literature, to writing of the final thesis. This process is the principal means by which our students learn the process of research. Learning through independent investigation is supplemented by instruction in a variety of graduate courses that may include formal lectures and laboratories, and various projects, research papers and seminars.",,,
Geography,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=61,4,years,,Doctor of Philosophy (PhD),,,,"1,","February,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The PhD is a research degree in which the thesis, contributing original knowledge to the field of research, is the primary focus. Graduates go on to academic careers or to other occupations in which doctoral-level education is an asset or prerequisite. Courses are chosen to ensure that students have the background required to undertake the thesis research. Students are educated in geographical research through courses and especially through direct individual supervision.",,,
Geography,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=60,2,years,,Master of Science (MSc),,,,"1,","February,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The M.A. and M.Sc. combine course work with a thesis and each are tailored to the needs and interests of each Master's student. There is opportunity to obtain graduate education in a wide range of areas of geographic knowledge, research and applications. In their initial year, students take mandatory courses in geographical philosophy and research practice and also choose from an array of more specialized courses in their area of interest and research.  The program provides a blend of formal instruction, seminar discussions, personal supervision and field experience as well as the opportunity to practice and improve communication, teaching and research skills.",,,
Geography,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=59,2,years,,Master of Arts (MA),,,,"1,","February,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The M.A. and M.Sc. combine course work with a thesis and each are tailored to the needs and interests of each Master's student. There is opportunity to obtain graduate education in a wide range of areas of geographic knowledge, research and applications. In their initial year, students take mandatory courses in geographical philosophy and research practice and also choose from an array of more specialized courses in their area of interest and research.  The program provides a blend of formal instruction, seminar discussions, personal supervision and field experience as well as the opportunity to practice and improve communication, teaching and research skills.",,,
Financial Economics,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=55,1.4,years,,Master of Financial Economics (MFE),,,,"1,","February,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The Western Master of Financial Economics (MFE) is a 16-month, course-based graduate program which includes a summer internship. This interdisciplinary program includes the  , the  , the  , and the  . These academic units have joined forces to provide MFE students with a broad understanding of Financial Theory and the Economics framework upon which that theory is based, as well as the understanding of Quantitative Finance and Securities Law, required for today's complex financial world. Graduates pursue careers in a variety of industry areas including risk management, financial modelling, investor and treasury services, and portfolio management.",,,
French Studies,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=58,4,years,,Doctor of Philosophy (PhD),,,,,,,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"Le département d'études françaises offre aux étudiant-e-s de 2e/3e cycles la possibilité d'explorer des techniques d'enseignement innovatrices et de faire de la recherche dans de nombreux domaines en langue et linguistique comme en littérature d'expression française.
",,,
Foods and Nutrition,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=56,5,Terms,,Master of Science in Foods and Nutrition (MScFN),,,,"10,1,31,","January,November,January,",,,,,,,CAD,,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,Brescia University College at Western University offers two streams in the MScFN program: a Course-Based (Internship) stream and a Thesis-Based stream.  Both groups will participate in graduate-level university courses and enhance their leadership skills. Students will also expand their research competence through a major research project or completion of a thesis.,,,
French Studies,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=57,1,year,,Master of Arts (MA),,,,,,,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"Le département d'études françaises offre aux étudiant-e-s de 2e/3e cycles la possibilité d'explorer des techniques d'enseignement innovatrices et de faire de la recherche dans de nombreux domaines en langue et linguistique comme en littérature d'expression française.
",,,
Family Medicine,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=53,3,years,,Doctor of Philosophy (PhD),,,,"1,","April,",,,33526.0,6050.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,This program will attract family physicians anticipating a research career in family medicine. The main goal of the PhD is to produce family physicians who will be competitive family medicine researchers at the highest levels of grantsmenship internationally.,,,
Family Medicine,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=52,3,years,,Master of Clinical Science (MClSc),,,,"1,","May,",,,33526.0,6050.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The Family Medicine program has attracted Family Physicians from Canada and around the world who wish to enhance their knowledge, skills and leadership within the discipline of Family Medicine. This program combines two weeks on-site once yearly with distance education online. The course of study is designed to fit the needs of the individual applicant and utilizes the broad range of academic and research expertise of the faculty.",,,
Epidemiology and Biostatistics,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=51,4,years,,Doctor of Philosophy (PhD),,,,"15,15,","January,October,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"We offer MSc and PhD degrees in Epidemiology & Biostatistics.  Students are exposed to a full breadth of policy-relevant methodologies from the fields of epidemiology, biostatistics, health services research, health economics, genetic epidemiology, and program evaluation.",,,
Epidemiology and Biostatistics,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=50,2,years,,Master of Science (MSc),,,,"15,15,","January,October,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"We offer MSc and PhD degrees in Epidemiology & Biostatistics.  Students are exposed to a full breadth of policy-relevant methodologies from the fields of epidemiology, biostatistics, health services research, health economics, genetic epidemiology, and program evaluation.",,,
English,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=46,1,year,,Master of Arts (MA),,,,"15,","January,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The Department's graduate program ranks as one of the strongest and most diversified graduate programs in Canada. Its central attraction is the Department's distinguished faculty and its considerable accomplishments in all areas of criticism and scholarship. The faculty's range of expertise provides the advantages of traditional scholarship and an array of historical approaches to the major literary periods and genres, as well as diverse theoretical and interdisciplinary perspectives that include discourse analysis, cultural studies, postcolonial literature and theory, feminist and gender studies, gay studies and theories of masculinity, ecological criticism, film, hypertext, theories of race, and the intersection between literature and the discourses of science, medicine, music, art, and law.",,,
Electrical and Computer Engineering,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=41,4,years,,Doctor of Philosophy (PhD),,,,"30,31,31,","November,July,March,",,,46269.0,12294.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The Department of Electrical and Computer Engineering offers graduate programs at the masters (M.E.Sc. and M.Eng.) and doctoral (Ph.D.) level in the following research areas: biomedical systems, communications systems and data networking, applied electrostatics and electromagnetics, microsystems and digital signal processing, power systems engineering, robotics and control and software engineering.",,,
Environment and Sustainability,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=48,1,year,,Master of Environment and Sustainability (MES),,,,"1,1,","February,March,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The Master’s in Environment and Sustainability program is an accelerated, interdisciplinary course-based Master’s degree program with a co-operative work placement term, completed in one full year of study. Students in the program begin study in September and  complete their degree the following August.",,,
English,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=47,4,years,,Doctor of Philosophy (PhD),,,,"15,","January,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The Department's graduate program ranks as one of the strongest and most diversified graduate programs in Canada. Its central attraction is the Department's distinguished faculty and its considerable accomplishments in all areas of criticism and scholarship. The faculty's range of expertise provides the advantages of traditional scholarship and an array of historical approaches to the major literary periods and genres, as well as diverse theoretical and interdisciplinary perspectives that include discourse analysis, cultural studies, postcolonial literature and theory, feminist and gender studies, gay studies and theories of masculinity, ecological criticism, film, hypertext, theories of race, and the intersection between literature and the discourses of science, medicine, music, art, and law.",,,
Electrical and Computer Engineering,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=40,1,year,,Master of Engineering (MEng),,,,"19,14,","August,April,",,,46269.0,12294.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The Department of Electrical and Computer Engineering offers graduate programs at the masters (M.E.Sc. and M.Eng.) and doctoral (Ph.D.) level in the following research areas: biomedical systems, communications systems and data networking, applied electrostatics and electromagnetics, microsystems and digital signal processing, power systems engineering, robotics and control and software engineering.",,,
Electrical and Computer Engineering,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=39,2,years,,Master of Engineering Science (MESc),,,,"30,31,31,","November,July,March,",,,46269.0,12294.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The Department of Electrical and Computer Engineering offers graduate programs at the masters (M.E.Sc. and M.Eng.) and doctoral (Ph.D.) level in the following research areas: biomedical systems, communications systems and data networking, applied electrostatics and electromagnetics, microsystems and digital signal processing, power systems engineering, robotics and control and software engineering.",,,
Education - Professional,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=115,3,years,,Doctor of Education (EdD),,,,,,,,34305.0,7271.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"Our Doctor of Education (EdD) in Educational Leadership is a doctoral degree that teaches seasoned educators and professionals specific, research-informed leadership practices, and prepares them to appropriately apply their learning to their own workplace and leadership roles. 

The primary goal of the EdD program is to prepare graduates to act as scholarly and influential leaders who will have an effective impact on, and promote sustainable change in, their workplaces. All course work is completed online. 

Although this program emphasizes informed leadership in education, it is designed for formal and informal leaders in practice and does not focus on preparing graduates for traditional academic positions.",,,
Education - Professional,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=117,2,years,,Master of Professional Education (MPEd),,,,"20,","for,",,,34305.0,7271.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"Our Master of Professional Education (MPEd) is designed to prepare candidates for advanced success in leadership and/or teaching roles. It is a course-based degree (with a final capstone project) that prepares students to solve real problems in local settings of professional practice. 
Successful completion of the program does not lead to certification with the Ontario College of Teachers.",,,
Education,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=45,4,years,,Doctor of Philosophy (PhD),,,,,,,,34305.0,7271.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"Our Doctorate of Philosophy in Education Studies challenges students to engage with foundational theories and focused areas of educational research. Through developing expertise in a specific field, candidates will also contribute to existing bodies of knowledge and extend the reach of research to influence theory, policy, and practice.",,,
Economics,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=43,4,years,,Doctor of Philosophy (PhD),,,,"1,","February,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"Western Economics offers a world-class PhD program, featuring an exceptional faculty as well as access to superb facilities. The program provides a rigorous, stimulating and collegial training environment designed to help students develop a strong understanding of the theory and applied tools of economics, superior research skills, and an ability to apply this training to real world questions or problems.",,,
Education,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=44,,,,Master of Arts (MA),,,,,,,,34305.0,7271.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,,,,
Economics,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=42,1,year,,Master of Arts (MA),,,,"1,","February,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"Our MA program serves as an entry path to transition to our world-class PhD program. The program is course based, and provides a stimulating and collegial training environment designed to help students develop a strong understanding of the theory and applied tools of economics to develop superior research skills.",,,
Data Analytics,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=272,1,year,,Master of Data Analytics (MDA),,,,"15,15,15,15,","June,November,February,October,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The Master of Data Analytics (MDA) is designed to produce technical professionals ready to pursue an analytics-focused career within the public and private sectors. 
 
The program, building on students’ core competencies in computer science and statistics, equips them with a set of highly sought-after, interdisciplinary technical data analytics skills. Students are also provided with the opportunity to customize their learning experience through the selection of a specialty field. The program culminates with an experiential learning opportunity consisting where students will get practical, hands-on experience using the analytics skills in a workplace environment.",,,
Computer Science,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=38,4,years,,Doctor of Philosophy (PhD),,,,"31,30,","July,September,",,,33526.0,6050.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The Department of Computer Science offers a four-year graduate program leading to a PhD in Computer Science.  This program provides a high quality, leading-edge education on Computer Science that produces highly capable and sought after researchers and professional leaders.  PhD students have the opportunity to conduct cutting-edge research in computer science with some of the best researchers in the world.",,,
Computer Science,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=37,1.4,years,,Master of Science (MSc),,,,"31,","July,",,,33526.0,6050.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,,,,
Comparative Literature,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=36,4,years,,Doctor of Philosophy (PhD),,,,"1,","February,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"Western’s program in Comparative Literature has recognized strengths in various literatures (especially – but not limited to – American, Canadian, Classical, English, French & Francophone, German, Hindi, Italian, Portuguese, Romanian, Russian and Spanish). What distinguishes it from similar programs across the country (Toronto, Alberta, Montreal...) is the insistent focus on critical theory, postcolonial literature, East-West cultural relationships and inter-media studies (particularly visual art and film). Many of those teaching in the program are well established scholars of Medieval, Renaissance, Baroque and 18-20th-century cultures. While our Ph.D. candidates are usually employed as Teaching Assistants, some of them may be asked to offer courses of their own design in Western’s undergraduate Comparative Literature and Culture program.",,,
Communication Sciences and Disorders,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=34,2,years,,Master of Clinical Science (MClSc),,,,,,,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,,,,
Clinical Medical Biophysics,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=33,,,,Master of Science (MSc),,,,,,,,33526.0,6050.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"
",,,
Comparative Literature,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=35,1,year,,Master of Arts (MA),,,,"1,","February,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"Western’s program in Comparative Literature has recognized strengths in various literatures (especially – but not limited to – American, Canadian, Classical, English, French & Francophone, German, Hindi, Italian, Portuguese, Romanian, Russian and Spanish). What distinguishes it from similar programs across the country (Toronto, Alberta, Montreal...) is the insistent focus on critical theory, postcolonial literature, East-West cultural relationships and inter-media studies (particularly visual art and film). Many of those teaching in the program are well established scholars of Medieval, Renaissance, Baroque and 18-20th-century cultures. Our MA students are employed as Teaching Assistants.",,,
Classics,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=32,4,years,,Doctor of Philosophy (PhD),,,,"15,","January,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"Students in the PhD program undertake a course of study that leads to a major, original research project on a topic of interest in the literatures, history and material cultures of ancient Greece and Rome. The program consists of several stages designed to ensure that students have broad knowledge in the range of subfields common to the study of antiquity and a substantial knowledge base in their particular are of intellectual enquiry, the subject of the dissertation. We have a small but growing group of PhD students engaged in a wide range of research projects, working closely with award-winning faculty supervisors. Each PhD student writes a number of exams at each stage of the program, including Greek and Latin translation exams, exams that test reading knowledge of the modern languages in which scholars often write (German, French, Italian), Comprehensive Exams (broad knowledge) and a Special Field exam that tests preparation for writing the PhD thesis.",,,
Classics,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=31,1.66,years,,Master of Arts (MA),,,,"15,","January,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"Classics is the original interdisciplinary program. Students research and explore the multifaceted cultures of ancient Greece and Rome, from language and literature, to aspects of ancient political, military or social history, to the physical remains of these ancient cultures as evident in archaeological artefacts. We offer a balanced mix each year of seminars in Greek poetry and prose, Latin poetry and prose, and seminars in ancient history or archaeology. These courses consist primarily of analysis and interpretation of source materials (whether literary or archaeological). Student assessment is based on a combination of active participation in class discussions, presentations, research papers and exams. The overall goal of the M.A. program is to train students to be sophisticated readers of ancient evidence, and to develop their skills in critical thinking, as well as in written and oral communication.",,,
Civil and Environmental Engineering,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=30,4,years,,Doctor of Philosophy (PhD),,,,"1,1,1,","July,November,March,",,,46269.0,12294.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,The Doctor of Philosophy (PhD) program is a thesis based Doctoral research degree. This program is offered to applicants who hold a Master's Degree in a related field.,,,
Business,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=86,15,months,,Executive Master of Business Administration (EMBA),,,,,,,,50000.0,25200.0,year,,CAD,,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"An EMBA is an MBA program structured specifically for the busy professional interested in advancing his or her career. Designed for mid to late career executives with at least eight years experience, the Ivey EMBA Program accelerates your experiential learning through case method. This style of learning uses real-world business challenges as a platform for developing your knowledge, capabilities and habits. The result: advanced problem solving and leadership skills that allow you to embrace and navigate the bigger picture.",,,
Business,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=24,4,years,,Doctor of Philosophy (PhD),,,,"15,","January,",,,50000.0,25200.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"Ivey’s PhD Program in Business Administration is a full-time research-based program designed to develop scholars and to place its graduates at high quality research universities around the world.
",,,
Biomedical Engineering,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=20,4,years,,Doctor of Philosophy (PhD),,,,"1,1,1,","July,November,March,",,,46269.0,12294.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,,,,
Biology,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=18,4,years,,Doctor of Philosophy (PhD),,,,"15,1,1,","June,November,March,",,,33526.0,6050.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"Biology at Western offers research-intensive, thesis-based graduate training at the Masters' and the Doctoral level. We offer world class facilities, a stimulating and collegial training environment, and high profile research programs overseen by internationally recognized faculty. We study life from a variety of perspectives including ecology and evolution, molecular and cellular biology, and physiology and biochemistry.",,,
Biomedical Engineering,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=19,2,years,,Master of Engineering Science (MESc),,,,"1,1,1,","July,November,March,",,,46269.0,12294.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,,,,
Biology,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=17,2,years,,Master of Science (MSc),,,,"15,1,1,","June,November,March,",,,33526.0,6050.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"Biology at Western offers research-intensive, thesis-based graduate training at the Masters' and the Doctoral level. We offer world class facilities, a stimulating and collegial training environment, and high profile research programs overseen by internationally recognized faculty. We study life from a variety of perspectives including ecology and evolution, molecular and cellular biology, and physiology and biochemistry.",,,
Biochemistry,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=16,4,years,,Doctor of Philosophy (PhD),,,,"1,1,15,","June,February,October,",,,33526.0,6050.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The Department of Biochemistry offers MSc and PhD graduate degrees. PhD and thesis based MSc degrees require completion of a research-intensive thesis, course work, and participation in a seminar program.",,,
Biochemistry,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=15,2,years,,Master of Science (MSc),,,,"1,1,15,","June,February,October,",,,33526.0,6050.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The Department of Biochemistry offers MSc and PhD graduate degrees. PhD and thesis based MSc degrees require completion of a research-intensive thesis, course work, and participation in a seminar program.",,,
