course_name,category,sub_category,course_website,duration,duration_term,study_mode,degree_level,monthly_intake,intake_day,intake_month,apply_day,apply_month,city,domestic_only,international_fee,domestic_fee,fee_term,fee_year,currency,study_load,ielts_listening,ielts_speaking,ielts_writing,ielts_reading,ielts_overall,pte_listening,pte_speaking,pte_writing,pte_reading,pte_overall,toefl_listening,toefl_speaking,toefl_writing,toefl_reading,toefl_overall,english_test,reading,listening,speaking,writing,overall,academic_level,academic_score,score_type,academic_country,other_test,score,other_requirements,course_description,course_structure,career,scholarship
Visual Arts,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=146,1,year,,Master of Arts (MA),,,,"15,","January,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The one year MA in Art History and Curatorial Studies offers training in the histories and theories of art and visual culture. The MA degree requires full-time study for three terms (fall, winter, summer) and has two streams, a course-based stream and a thesis-based stream. It prepares its graduates for advanced study in the field, as well as for careers in museums, galleries, and other areas of the arts. In first semester, all MA and MFA students take a core course in art theory and research methods together, thereby providing opportunities for exchange between historical and contemporary perspectives. From there, students work in small seminar courses, complete a second language requirement, have the opportunity to undertake an internship, and complete either a major research paper or thesis, depending on stream.",,,
Theory and Criticism,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=145,4,years,,Doctor of Philosophy (PhD),,,,"15,","January,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"Western's program has established strengths in social & political theory and media & cultural studies, while maintaining its traditional strengths in critical theory and continental philosophy. What distinguishes the Theory Centre's MA program from other graduate programs is the serious attention given to intellectual history, and to its connection to contemporary forms of critical theory. Although the program emphasizes the study of theory as a distinct object of inquiry, and thus supports speculative inquiries about particular forms of theory, it also encourages students to engage with contemporary critical aesthetic, social and political inquiry.",,,
Theory and Criticism,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=144,2,years,,Master of Arts (MA),,,,"15,","January,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"Western's program has established strengths in social & political theory and media & cultural studies, while maintaining its traditional strengths in critical theory and continental philosophy. What distinguishes the Theory Centre's MA program from other graduate programs is the serious attention given to intellectual history, and to its connection to contemporary forms of critical theory. Although the program emphasizes the study of theory as a distinct object of inquiry, and thus supports speculative inquiries about particular forms of theory, it also encourages students to engage with contemporary critical aesthetic, social and political inquiry.",,,
Statistics,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=140,1-2,years,,Master of Science (MSc),,,,"1,15,","July,February,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"Our department's Master’s program encompasses three fields: Statistical Theory, Actuarial Science and Financial Modelling.  Students in the Statistical Theory field will study probability, inference, statistical computing and data analysis in depth. Students in the Actuarial Science field will learn about survival analysis, risk, ruin, mortality and their connections with finance. Students in the Financial Modelling field will learn the theory and application of deterministic and stochastic models used in the banking industry.",,,
Theology,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=143,2,years,,Master of Arts (MA),,,,"1,30,","June,October,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The Master of Arts in Theology at Western is a two year degree (full-time) which combines course work with a thesis, in a constructive combination of formal instruction, seminar discussion, and supervised research. The thesis requirement in particular allows study to be tailored to individual interests. Drawing upon faculty working both in the theological disciplines and in the wider university, the degree seeks to foster academic integrity, interdisciplinarity and theological engagement. The faculty’s central resources lie in Christian thought, but complemented by strengths also in Islamic Studies, global religion, and public theology. Thus a student can do theological research on subjects as diverse as, for instance, the Gospels, Reformation thought or history, Karl Barth, Islamic ethics, religion and violence, or religious pluralism. The goal is to provide students with a research degree which allows them to explore personal or professional interests at the Master’s level, while at the same time to laying a solid foundation for doctoral study in related areas for those wishing to pursue further research. ",,,
Surgery,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=142,1,year,,Master of Science (MSc),,,,"15,15,","January,April,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The Department of Surgery at Western has a large, well-established, and highly-regarded post-graduate surgical education training program that includes seven individual subspecialty programs.  The MSc in Surgery at Western has been designed to afford trainees an intensive research experience which will lead graduates to successful careers as clinician researchers at Academic Health Sciences Centers.  All students will conduct novel research resulting in the completing of an MSc thesis which must be successfully defended by the student to accomplish the degree requirements.",,,
Statistics,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=141,4,years,,Doctor of Philosophy (PhD),,,,"1,15,","July,February,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"Our department's PhD program encompasses three fields: Statistics, Actuarial Science and Financial Modelling.",,,
Social Work,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=139,3,terms,,Master of Social Work (MSW),,,,"15,","January,",,,33526.0,6050.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The School of Social Work at King’s University College, affiliated with Western University, is pleased to offer two Direct Practice Master of Social Work (MSW) streams on a full-time basis. The Advanced Standing (1-year) and Foundational (2-year) programs are course-based with an advanced practicum (450+ hours in each year of the program). Our practicum placements with experienced social workers in child and family services, health and social service organizations, schools, mental health and justice settings, prepare graduates for advanced success in leadership roles and professional practice in specialized areas of interest with individuals, families, groups and communities.
 
Social work is concerned with the enhancement of individual, familial and community wellbeing, and is a profession aimed at promoting equity and social justice. While some social workers may provide counselling and psychotherapy, the profession of social work addresses broader social issues related to oppression, marginalization and injustice. Course content reflects the need for knowledge and skills in policy, advocacy, and community development to inform the range of tasks that social workers are expected to engage in as part of direct practice.
 
Our faculty include award-winning scholars and researchers with expertise in diverse areas of social work practice, such as social inequity, mental health and addictions, structural and clinical social work, organizational leadership, and transnational practice. The School of Social Work has exceptional faculty members, excellent support staff and student facilities, all within a beautiful college campus at King’s. Students are admitted to the program each September.",,,
"Research for Policy and Evaluation
",,,https://grad.uwo.ca/admissions/programs/program.cfm?p=285,1,year,,Master of Arts (MA),,,,"28,","February,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,,,,
Sociology,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=138,4,years,,Doctor of Philosophy (PhD),,,,"15,","January,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"Our faculty include award-winning, internationally renowned scholars in Social Inequality, Aging & Health, and Population Studies. We also have research expertise in areas such as youth and identity, criminology, and work. Furthermore, we are home to the Centre for Population, Aging and Health.  We are active participants in the collaborative specializations in Migration & Ethnic Relations and Transitional Justice & Post-Conflict Reconstruction.  Moreover, our researchers benefit from the Research Data Centre housed at Western and one of the top academic libraries in the country.
",,,
